sentence1,sentence2,label
"A basic understanding of suffix, array, string as it relates to DSA.","A basic understanding of suffix, a",0.6
"An advanced understanding of pattern matching, string, prefix, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of pattern matching, string, prefix, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of pattern matching, string, prefix, including implementation details, trade-offs, and real-world use cases in DSA.","pattern matching, string, prefix, failure function, efficient",0.8
"An advanced understanding of pattern matching, string, prefix, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of pattern matching, string, prefix, includi",0.6
"An advanced understanding of pattern matching, string, jump, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of pattern matching, string, jump, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of pattern matching, string, jump, including implementation details, trade-offs, and real-world use cases in DSA.","pattern matching, string, jump, efficient, comparison",0.8
"An advanced understanding of pattern matching, string, jump, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of pattern matching, string, jump, includin",0.6
"A basic understanding of rolling hash, pattern matching, string as it relates to DSA.","A basic understanding of rolling hash, pattern matching, string as it relates to DSA.",1.0
"A basic understanding of rolling hash, pattern matching, string as it relates to DSA.","rolling hash, pattern matching, string, hash",0.8
"A basic understanding of rolling hash, pattern matching, string as it relates to DSA.","A basic understanding of rolling hash, pat",0.6
"A comprehensive explanation of multiple patterns, string matching, automaton, including their application and importance in DSA.","A comprehensive explanation of multiple patterns, string matching, automaton, including their application and importance in DSA.",1.0
"A comprehensive explanation of multiple patterns, string matching, automaton, including their application and importance in DSA.","multiple patterns, string matching, automaton, efficient",0.8
"A comprehensive explanation of multiple patterns, string matching, automaton, including their application and importance in DSA.","A comprehensive explanation of multiple patterns, string matchin",0.6
"A comprehensive explanation of palindrome, string, center expansion, including their application and importance in DSA.","A comprehensive explanation of palindrome, string, center expansion, including their application and importance in DSA.",1.0
"A comprehensive explanation of palindrome, string, center expansion, including their application and importance in DSA.","palindrome, string, center expansion, linear, efficient",0.8
"A comprehensive explanation of palindrome, string, center expansion, including their application and importance in DSA.","A comprehensive explanation of palindrome, string, center e",0.6
"A comprehensive explanation of string matching, pattern, linear, including their application and importance in DSA.","A comprehensive explanation of string matching, pattern, linear, including their application and importance in DSA.",1.0
"A comprehensive explanation of string matching, pattern, linear, including their application and importance in DSA.","string matching, pattern, linear, array, efficient",0.8
"A comprehensive explanation of string matching, pattern, linear, including their application and importance in DSA.","A comprehensive explanation of string matching, pattern,",0.6
"An advanced understanding of matrix multiplication, divide-conquer, O(n^2.81), including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of matrix multiplication, divide-conquer, O(n^2.81), including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of matrix multiplication, divide-conquer, O(n^2.81), including implementation details, trade-offs, and real-world use cases in DSA.","matrix multiplication, divide-conquer, O(n^2.81), fast",0.8
"An advanced understanding of matrix multiplication, divide-conquer, O(n^2.81), including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of matrix multiplication, divide-conquer, O(n^2.81),",0.6
"A basic understanding of fast Fourier transform, polynomial, multiplication as it relates to DSA.","A basic understanding of fast Fourier transform, polynomial, multiplication as it relates to DSA.",1.0
"A basic understanding of fast Fourier transform, polynomial, multiplication as it relates to DSA.","fast Fourier transform, polynomial, multiplication, efficient, transform",0.8
"A basic understanding of fast Fourier transform, polynomial, multiplication as it relates to DSA.","A basic understanding of fast Fourier transform,",0.6
"A basic understanding of polynomial, multiplication, operation as it relates to DSA.","A basic understanding of polynomial, multiplication, operation as it relates to DSA.",1.0
"A basic understanding of polynomial, multiplication, operation as it relates to DSA.","polynomial, multiplication, operation, FFT, efficient",0.8
"A basic understanding of polynomial, multiplication, operation as it relates to DSA.","A basic understanding of polynomial, multi",0.6
"An advanced understanding of matching, bipartite, augmenting path, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of matching, bipartite, augmenting path, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of matching, bipartite, augmenting path, including implementation details, trade-offs, and real-world use cases in DSA.","matching, bipartite, augmenting path, maximum, graph",0.8
"An advanced understanding of matching, bipartite, augmenting path, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of matching, bipartite, augmenting path, inclu",0.6
"A comprehensive explanation of assignment problem, bipartite matching, optimal, including their application and importance in DSA.","A comprehensive explanation of assignment problem, bipartite matching, optimal, including their application and importance in DSA.",1.0
"A comprehensive explanation of assignment problem, bipartite matching, optimal, including their application and importance in DSA.","assignment problem, bipartite matching, optimal, weight",0.8
"A comprehensive explanation of assignment problem, bipartite matching, optimal, including their application and importance in DSA.","A comprehensive explanation of assignment problem, bipartite matc",0.6
"A basic understanding of stable, matching, preferences as it relates to DSA.","A basic understanding of stable, matching, preferences as it relates to DSA.",1.0
"A basic understanding of stable, matching, preferences as it relates to DSA.","stable, matching, preferences, algorithm, gale-shapley",0.8
"A basic understanding of stable, matching, preferences as it relates to DSA.","A basic understanding of stable, match",0.6
"An advanced understanding of flow network, maximum, capacity, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of flow network, maximum, capacity, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of flow network, maximum, capacity, including implementation details, trade-offs, and real-world use cases in DSA.","flow network, maximum, capacity, source, sink, ford-fulkerson",0.8
"An advanced understanding of flow network, maximum, capacity, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of flow network, maximum, capacity, includin",0.6
"A comprehensive explanation of minimum cut, flow network, partition, including their application and importance in DSA.","A comprehensive explanation of minimum cut, flow network, partition, including their application and importance in DSA.",1.0
"A comprehensive explanation of minimum cut, flow network, partition, including their application and importance in DSA.","minimum cut, flow network, partition, capacity, min-cut-max-flow",0.8
"A comprehensive explanation of minimum cut, flow network, partition, including their application and importance in DSA.","A comprehensive explanation of minimum cut, flow network, p",0.6
"A basic understanding of minimum cost, flow network, optimization as it relates to DSA.","A basic understanding of minimum cost, flow network, optimization as it relates to DSA.",1.0
"A basic understanding of minimum cost, flow network, optimization as it relates to DSA.","minimum cost, flow network, optimization, cost, flow",0.8
"A basic understanding of minimum cost, flow network, optimization as it relates to DSA.","A basic understanding of minimum cost, flow",0.6
"A basic understanding of optimization, linear constraints, objective as it relates to DSA.","A basic understanding of optimization, linear constraints, objective as it relates to DSA.",1.0
"A basic understanding of optimization, linear constraints, objective as it relates to DSA.","optimization, linear constraints, objective, feasible, region",0.8
"A basic understanding of optimization, linear constraints, objective as it relates to DSA.","A basic understanding of optimization, linear",0.6
"A basic understanding of linear programming, algorithm, optimal as it relates to DSA.","A basic understanding of linear programming, algorithm, optimal as it relates to DSA.",1.0
"A basic understanding of linear programming, algorithm, optimal as it relates to DSA.","linear programming, algorithm, optimal, vertices, solution",0.8
"A basic understanding of linear programming, algorithm, optimal as it relates to DSA.",A basic understanding of linear programmin,0.6
"A basic understanding of geometry, points, convex as it relates to DSA.","A basic understanding of geometry, points, convex as it relates to DSA.",1.0
"A basic understanding of geometry, points, convex as it relates to DSA.","geometry, points, convex, boundary, algorithm",0.8
"A basic understanding of geometry, points, convex as it relates to DSA.","A basic understanding of geometry,",0.6
"A comprehensive explanation of convex hull, algorithm, sort, including their application and importance in DSA.","A comprehensive explanation of convex hull, algorithm, sort, including their application and importance in DSA.",1.0
"A comprehensive explanation of convex hull, algorithm, sort, including their application and importance in DSA.","convex hull, algorithm, sort, stack, efficient",0.8
"A comprehensive explanation of convex hull, algorithm, sort, including their application and importance in DSA.","A comprehensive explanation of convex hull, algorithm,",0.6
"A comprehensive explanation of P, NP, NP-hard, including their application and importance in DSA.","A comprehensive explanation of P, NP, NP-hard, including their application and importance in DSA.",1.0
"A comprehensive explanation of P, NP, NP-hard, including their application and importance in DSA.","P, NP, NP-hard, NP-complete, reduction",0.8
"A comprehensive explanation of P, NP, NP-hard, including their application and importance in DSA.","A comprehensive explanation of P, NP, NP-hard, i",0.6
"An advanced understanding of computation, model, algorithm, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of computation, model, algorithm, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of computation, model, algorithm, including implementation details, trade-offs, and real-world use cases in DSA.","computation, model, algorithm, decidable, complexity",0.8
"An advanced understanding of computation, model, algorithm, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of computation, model, algorithm, including",0.6
"An advanced understanding of computability, equivalence, algorithms, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of computability, equivalence, algorithms, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of computability, equivalence, algorithms, including implementation details, trade-offs, and real-world use cases in DSA.","computability, equivalence, algorithms, thesis",0.8
"An advanced understanding of computability, equivalence, algorithms, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of computability, equivalence, algorithms, incl",0.6
"A basic understanding of byte order, endianness, CPU as it relates to DSA.","A basic understanding of byte order, endianness, CPU as it relates to DSA.",1.0
"A basic understanding of byte order, endianness, CPU as it relates to DSA.","byte order, endianness, CPU, representation",0.8
"A basic understanding of byte order, endianness, CPU as it relates to DSA.","A basic understanding of byte order,",0.6
"An advanced understanding of negative numbers, binary, representation, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of negative numbers, binary, representation, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of negative numbers, binary, representation, including implementation details, trade-offs, and real-world use cases in DSA.","negative numbers, binary, representation, overflow",0.8
"An advanced understanding of negative numbers, binary, representation, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of negative numbers, binary, representation, inc",0.6
"A basic understanding of AND, OR, XOR as it relates to DSA.","A basic understanding of AND, OR, XOR as it relates to DSA.",1.0
"A basic understanding of AND, OR, XOR as it relates to DSA.","AND, OR, XOR, NOT, shift, bitwise",0.8
"A basic understanding of AND, OR, XOR as it relates to DSA.","A basic understanding of AND,",0.6
"An advanced understanding of probabilistic, membership, false positive, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of probabilistic, membership, false positive, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of probabilistic, membership, false positive, including implementation details, trade-offs, and real-world use cases in DSA.","probabilistic, membership, false positive, space-efficient",0.8
"An advanced understanding of probabilistic, membership, false positive, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of probabilistic, membership, false positive, inc",0.6
"An advanced understanding of approximate, statistics, stream, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of approximate, statistics, stream, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of approximate, statistics, stream, including implementation details, trade-offs, and real-world use cases in DSA.","approximate, statistics, stream, space, efficient",0.8
"An advanced understanding of approximate, statistics, stream, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of approximate, statistics, stream, includin",0.6
"A basic understanding of trie, prefix, tree as it relates to DSA.","A basic understanding of trie, prefix, tree as it relates to DSA.",1.0
"A basic understanding of trie, prefix, tree as it relates to DSA.","trie, prefix, tree, string, efficient",0.8
"A basic understanding of trie, prefix, tree as it relates to DSA.","A basic understanding of trie, p",0.6
"A comprehensive explanation of geometry, intersection, points, including their application and importance in DSA.","A comprehensive explanation of geometry, intersection, points, including their application and importance in DSA.",1.0
"A comprehensive explanation of geometry, intersection, points, including their application and importance in DSA.","geometry, intersection, points, algorithm",0.8
"A comprehensive explanation of geometry, intersection, points, including their application and importance in DSA.","A comprehensive explanation of geometry, intersection, p",0.6
"An advanced understanding of randomized skip list, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of randomized skip list, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of randomized skip list, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","randomized skip list, algorithm, optimization, efficiency, implementation",0.8
"An advanced understanding of randomized skip list, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of randomized skip list, algorithm, optimization, i",0.6
"A basic understanding of treap, algorithm, optimization as it relates to DSA.","A basic understanding of treap, algorithm, optimization as it relates to DSA.",1.0
"A basic understanding of treap, algorithm, optimization as it relates to DSA.","treap, algorithm, optimization, efficiency, implementation",0.8
"A basic understanding of treap, algorithm, optimization as it relates to DSA.","A basic understanding of treap, algori",0.6
"An advanced understanding of splay tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of splay tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of splay tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","splay tree, algorithm, optimization, efficiency, implementation",0.8
"An advanced understanding of splay tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of splay tree, algorithm, optimization, includ",0.6
"An advanced understanding of cartesian tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of cartesian tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of cartesian tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","cartesian tree, algorithm, optimization, efficiency, implementation",0.8
"An advanced understanding of cartesian tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of cartesian tree, algorithm, optimization, incl",0.6
"A basic understanding of link-cut tree, algorithm, optimization as it relates to DSA.","A basic understanding of link-cut tree, algorithm, optimization as it relates to DSA.",1.0
"A basic understanding of link-cut tree, algorithm, optimization as it relates to DSA.","link-cut tree, algorithm, optimization, efficiency, implementation",0.8
"A basic understanding of link-cut tree, algorithm, optimization as it relates to DSA.","A basic understanding of link-cut tree, al",0.6
"An advanced understanding of gomory-hu tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of gomory-hu tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of gomory-hu tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","gomory-hu tree, algorithm, optimization, efficiency, implementation",0.8
"An advanced understanding of gomory-hu tree, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of gomory-hu tree, algorithm, optimization, incl",0.6
"An advanced understanding of heavy-light decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of heavy-light decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of heavy-light decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","heavy-light decomposition, algorithm, optimization, efficiency, implementation",0.8
"An advanced understanding of heavy-light decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of heavy-light decomposition, algorithm, optimization",0.6
"An advanced understanding of centroid decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of centroid decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of centroid decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","centroid decomposition, algorithm, optimization, efficiency, implementation",0.8
"An advanced understanding of centroid decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of centroid decomposition, algorithm, optimization,",0.6
"A comprehensive explanation of mo's algorithm, algorithm, optimization, including their application and importance in DSA.","A comprehensive explanation of mo's algorithm, algorithm, optimization, including their application and importance in DSA.",1.0
"A comprehensive explanation of mo's algorithm, algorithm, optimization, including their application and importance in DSA.","mo's algorithm, algorithm, optimization, efficiency, implementation",0.8
"A comprehensive explanation of mo's algorithm, algorithm, optimization, including their application and importance in DSA.","A comprehensive explanation of mo's algorithm, algorithm, opt",0.6
"An advanced understanding of square root decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of square root decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.",1.0
"An advanced understanding of square root decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","square root decomposition, algorithm, optimization, efficiency, implementation",0.8
"An advanced understanding of square root decomposition, algorithm, optimization, including implementation details, trade-offs, and real-world use cases in DSA.","An advanced understanding of square root decomposition, algorithm, optimization",0.6
